quantile,Y2020,Y2030,Y2040,Y2050,Y2060,Y2070,Y2080,Y2090,Y2100,Y2110,Y2120,Y2130,Y2140,Y2150
0.899999976158142,0.09,0.153,0.233,0.333,0.441,0.574,0.724,0.897,1.087,1.27,1.456,1.638,1.817,1.993
0.910000026226044,0.092,0.156,0.238,0.34,0.449,0.585,0.736,0.913,1.109,1.296,1.486,1.673,1.856,2.035
0.920000016689301,0.094,0.16,0.243,0.347,0.46,0.597,0.751,0.932,1.134,1.323,1.52,1.711,1.896,2.079
0.930000007152557,0.097,0.164,0.248,0.355,0.471,0.611,0.77,0.955,1.16,1.355,1.555,1.753,1.946,2.134
0.939999997615814,0.099,0.169,0.255,0.364,0.483,0.629,0.796,0.985,1.194,1.396,1.602,1.804,2.001,2.194
0.949999988079071,0.102,0.173,0.264,0.376,0.5,0.652,0.824,1.018,1.237,1.446,1.66,1.871,2.078,2.278
0.959999978542328,0.107,0.18,0.272,0.392,0.521,0.678,0.858,1.062,1.292,1.508,1.733,1.954,2.172,2.385
0.970000028610229,0.111,0.189,0.285,0.411,0.548,0.711,0.903,1.117,1.365,1.595,1.831,2.061,2.286,2.512
0.980000019073486,0.118,0.199,0.305,0.437,0.584,0.766,0.978,1.216,1.488,1.732,1.993,2.251,2.506,2.756
0.990000009536743,0.13,0.22,0.339,0.487,0.659,0.865,1.1,1.385,1.693,1.974,2.27,2.572,2.87,3.163
0.995000004768372,0.139,0.242,0.374,0.549,0.744,0.983,1.264,1.583,1.941,2.253,2.596,2.945,3.278,3.617
0.999000012874603,0.166,0.291,0.462,0.683,0.928,1.24,1.596,2.023,2.494,2.87,3.274,3.72,4.168,4.606
1,0.23,0.395,0.61,0.881,1.217,1.607,2.062,2.575,3.258,3.729,4.293,4.854,5.417,5.977
